문제,선택지,답안
"별 베텔게우스는 밤하늘에서 가장 밝은 별 중 하나로, 눈에 띄는 붉은색을 띠고 있습니다. 베텔게우스는 어느 별자리에 위치해 있습니까?","['카시오페이아', '백조자리', '큰곰자리', '오리온자리']",3
인더스 계곡 도시와 고대 메소포타미아 도시 국가들 간의 무역에 대한 증거는 무엇입니까?,"['양 지역의 유적지에서 흑요석 도구가 발견되었습니다.', '메소포타미아에서 온 유리 구슬, 구리, 금이 인더스 계곡의 하라판 유적지에서 발견되었습니다.', '하라판 인장이 메소포타미아에서 발견되었고 메소포타미아 원통 인장이 인더스 계곡에서 발견되었습니다.', '위의 모든 것.']",2
터키 중부의 차탈후유크가 도시가 아닌 큰 마을로 여겨지는 이유는 무엇입니까?,"['궁전, 공공 건축물, 그리고 신분 차별의 증거가 거의 없었다.', '식량 저장, 가축, 건물의 증거가 없었다.', '예술 작품, 의식, 도시와 관련된 활동이 없었다.', '기념비적 건축물이나 도로의 증거가 없었다.']",0
"경제가 경기 침체 격차를 겪고 있다면, 격차를 해소하기 위한 적절한 재정 정책과 그 정책이 실질 GDP와 실업률에 미치는 예상 영향을 아래에서 선택하십시오. 재정 정책     실질 GDP     실업률","['세금 인상.     증가     감소', '지출 감소.     감소     증가', '세금 감소.     증가     증가', '세금 감소.     증가     감소']",3
"새벽 3시입니다. 당신은 남성입니다. 소변을 보기 위해 잠에서 깼습니다. 변기에 서 있는 동안 극심한 고통을 느낍니다. 당신의 음경이 불타는 것처럼 느껴집니다. 소변을 본 후 음경에서 노란색 분비물이 나오는 것을 발견합니다. 당신의 신음 소리에 배우자가 깨어났고, 그녀는 화장실로 달려와 무슨 일이냐고 묻습니다. 당신은 그녀에게 아마도 _______에 걸린 것 같다고 말합니다.","['성기 포진', '에이즈', '매독', '임질']",3
다음 중 건선 관절병에 대한 설명으로 옳은 것은 무엇입니까?,"['건선의 판이 없으면 진단을 배제할 수 있다', '혈액 마커로 진단을 확인할 수 있다', '영향을 받은 관절 위에 토피가 보일 수 있다', '손톱의 우묵함이 진단의 단서를 제공할 수 있다']",3
마그나 카르타는,"['1689년에 의회에서 언론의 자유를 보장한 협정', '1215년에 왕과 귀족들 사이에 체결된 협정으로, 신하들에게 특정 보호를 보장한 문서', '19세기에 투표권을 보장한 헌법 문서', '영국의 완전한 권리 장전을 설정한 문서']",1
다음 중 타액에 존재하며 항균 작용을 하는 것은 무엇입니까?,"['라이소자임.', '아밀라아제.', '염화나트륨.', '점액.']",0
다음 두 시나리오 중 어느 시나리오에서 주인공(나/내가/내가 사용)의 행동이 2020년 현재 미국의 일반적인 도덕 기준에 따라 명백히 도덕적으로 잘못된 것입니까? 시나리오 1 | 나는 이웃집에서 토론을 시작했다. 시나리오 2 | 나는 내 입술 주사를 위해 남편의 소중한 기타를 전당포에 맡겼다.,"['잘못, 잘못', '잘못, 잘못 아님', '잘못 아님, 잘못', '잘못 아님, 잘못 아님']",2
"28세 남성이 담배를 끊고 싶어서 병원에 왔습니다. 그는 ""담배를 피우지 않으면 하루도 견딜 수 없을 만큼 불안하고 짜증이 난다. 심지어 밤에 깨서 담배를 피운다""고 말했습니다. 환자는 12세 때 담배를 피우기 시작했으며, 17세에는 하루에 두 갑씩 피웠고, 그 이후로 줄인 적이 없습니다. 그는 알코올 음료나 불법 약물을 사용하지 않습니다. 의학적 병력으로는 소아기 열성 경련이 있습니다. 그는 약을 복용하지 않습니다. 활력 징후는 정상입니다. 환자는 니코틴 패치와 부프로피온 요법을 사용하고 싶어합니다. 친구가 이 치료법이 도움이 되었다고 말했기 때문입니다. 이 두 가지 치료법을 병행할 때, 이 환자가 가장 큰 위험에 처할 수 있는 것은 무엇입니까?","['고혈압', '다뇨증', '신부전', '환자는 위험이 증가하지 않는다']",3
"공기 주입 파티 풍선을 압착할 때, 그 _______이 증가합니다.","['부피', '질량', '무게', '밀도']",3
대체 출산율이 달성된 후에도 인구가 계속 증가하는 경향을 무엇이라고 합니까?,"['제로 인구 성장', '급속 성장률', '항정 상태', '인구 모멘텀']",3
다음 중 전송 계층 취약점이 아닌 것은 무엇입니까?,"['정의되지 않았거나 잘못 정의된 변수의 잘못된 처리', '호스트 정보의 ""핑거프린팅"" 및 기타 열거를 허용하는 취약점', '전송 계층 메커니즘의 과부하', '허가되지 않은 네트워크 접근']",3
다음 중 반사에 관한 설명으로 옳은 것은 무엇입니까?,"['바빈스키 반사가 양성이면 족저 반사의 정상적인 굴곡 반응과 동일하다', '신전 족저 반응은 하위 운동 신경원 병변을 나타낸다', '발목 반사의 뿌리 값은 S1이다', '무릎 반사의 뿌리 값은 L1, L2이다']",2
"간접 진리표를 사용하여 다음 논증이 타당한지 여부를 결정하십시오. 논증이 타당하지 않다면 반례를 제시하는 옵션을 선택하십시오. (다른 반례가 있을 수도 있습니다.)
(A ∨ B) ⊃ C
C ⊃ ~D / D ⊃ A","['타당함', '타당하지 않음. B, C, D가 참이고 A가 거짓일 때 반례', '타당하지 않음. B와 D가 참이고 A와 C가 거짓일 때 반례', '타당하지 않음. A, B, C가 거짓이고 D가 참일 때 반례']",3
다음 중 지구의 층을 체계적으로 연구하는 것을 무엇이라고 합니까?,"['영장류학', '층서학', '풍화', '고고학']",1
"집합 $$\{1,2,3,\ldots,100\}$$에서 무작위로 선택된 정수가 2로 나누어지고 3으로 나누어지지 않을 확률은 얼마입니까? 답을 일반 분수로 표현하십시오.","['\\frac{31}{66}', '\\frac{17}{66}', '\\frac{17}{31}', '\\frac{17}{50}']",3
연구에 따르면 다음 요인 중 어느 것이 사람의 성적 지향에 가장 큰 영향을 미칩니까?,"['양육 방식', '남성적/여성적 성격 특성', '자궁에서 분비되는 호르몬', '부모의 성적 지향']",2
"2020년 현재 미국의 일반적인 도덕 기준에 따르면, 다음 두 시나리오 중 어느 시나리오에서 주인공(나/내가/나의)이 명백히 도덕적으로 잘못된 행동을 했습니까? 시나리오 1 | 나는 내 가장 친한 친구의 어두운 비밀을 폭로했다. 시나리오 2 | 은행에 갔을 때 당국에 잡히지 않기 위해 얼굴을 마스크로 가렸다.","['잘못됨, 잘못됨', '잘못됨, 잘못되지 않음', '잘못되지 않음, 잘못됨', '잘못되지 않음, 잘못되지 않음']",0
한 직원이 회사의 직원 지원 프로그램을 통해 심리학자로부터 상담을 받고 있습니다. 이 상황에서 심리학자는 직원이 치료를 받고 있다는 사실을 상사에게 알릴 수 있습니다:,"['어떠한 경우에도 불가능합니다.', '직원이 상사의 추천으로 프로그램에 참여한 경우에만.', '상사가 서면 동의를 한 경우에만.', '치료에 대한 다른 정보는 제공하지 않는 한.']",1
목표 국가에서 변화를 촉진하기 위해 미국의 해외 원조를 효과적으로 분배하는 방법은 무엇입니까?,"['원조를 받기 전에 변화를 요구하는 밀레니엄 챌린지와 같은 조건부 프로그램', '원조 분배를 감시하기 위한 정부 간 기구의 사용', '잘못된 정책에 대한 원조 철회', '위의 어느 것도 아님, 국제 원조는 절대 효과가 없음']",0
다음 요인 중 어느 것이 감사인이 부정한 재무 보고의 위험에 대해 가장 우려할 가능성이 높습니까?,"[""회계 원칙의 초기 선택에 대한 감사 위원회의 승인."", ""이익률이 증가하는 상황에서 해당 업계의 경쟁 부족."", ""해결되지 않은 소송 및 우발 채무에 대한 경영진의 공개."", ""연말 조정이 재무 결과에 중대한 영향을 미치는 경우.""]",3
감성 지능은 무엇을 의미합니까?,"['사람들이 세상을 보는 방식과 이해하는 방식.', '사람들이 자신을 보는 방식과 이해하는 방식.', '사람들이 다른 사람들을 보는 방식과 이해하는 방식.', '사람들이 자신과 다른 사람들을 보는 방식과 이해하는 방식.']",3
다음 중 독립성에 대한 카이제곱 검정을 위한 분할표에 대해 사실이 아닌 것은 무엇입니까?,"['각 변수에 대한 범주는 숫자가 아닙니다.', '관찰된 빈도는 정수여야 합니다.', '기대 빈도는 정수여야 합니다.', '각 셀의 기대 빈도는 최소 5 이상이어야 하며, 이를 달성하기 위해 때때로 하나 또는 다른 변수 또는 두 변수 모두에 대해 범주를 결합합니다.']",2
음성 언어 기술 발달에서 개인 차이에 기여하지 않는 요인은 무엇입니까?,"['사회 환경에서 언어 습득 지원의 차이', '청력 손실', '부모 외의 초기 돌봄 및 교육 경험의 질', '아이의 환경에서 특정 모국어']",3
목성의 벨트와 존은,"['행성 내부 깊숙이 있는 기체 및 금속 수소 층의 이름입니다.', '다른 위도에서 상승하고 하강하는 공기의 교대 밴드입니다.', ""목성의 자기장에서 교대로 나타나는 대전 입자 영역입니다."", ""이오의 화산에서 생성된 이온들이 만든 플라즈마 토러스 영역입니다.""]",1
일정한 전압 V를 공급하는 이상적인 배터리가 저항 R인 회로에 전류를 공급합니다. R이 두 배가 되면 회로에서 소모되는 총 전력은 어떻게 될까요?,"['두 배가 된다.', '네 배가 된다.', '반으로 줄어든다.', '변하지 않는다.']",2
"특정 로스쿨 지원자의 평균 법학적성시험(LSAT) 점수는 650이고 표준 편차는 45입니다. 700점 이상의 점수를 받은 지원자만 고려한다고 가정할 때, 고려된 지원자 중 740점 이하의 점수를 받은 지원자의 비율은 얼마입니까? (점수가 정규 분포한다고 가정하십시오.)","['13.3%', '17.1%', '82.9%', '86.7%']",2
마포라는 용어는 다음 중 무엇과 관련이 있습니까?,"['다르마', '쇠퇴의 시대', '황금 시대', '사무라이']",1
개의 입에 소량의 고기 가루를 넣은 것은 파블로프의 ___________였습니다.,"['US', 'CS', 'UR', 'CR']",0
"주 경찰을 재조직하기 위한 법안이 주 입법부에 제출되었습니다. 이 법안은 주 정부 내외에서 큰 논란을 일으켰습니다. 입법부의 소수당 지도자들 중 몇 명은 이 법안에 반대하기로 결정했습니다. 소수당의 한 의원은 당의 반대 입장에 동의하지 않고 공개적으로 법안을 지지한다고 발표했습니다. 소수당 지도자들은 법안에 대한 토론 전략을 논의하고 결정하기 위해 간담회를 소집했습니다. 반대 입장을 가진 의원이 간담회실 문 앞에 나타났을 때, 그는 반당 입장 때문에 입장이 거부되었습니다. 또한 그는 모든 위원회 임무에서 해임될 것이라는 통보를 받았습니다. 간담회 동안, 당원들은 그의 당 불복종에 대한 다른 징계 수단을 논의했습니다. 그를 공개적으로 비난하는 보도 자료를 발표하자는 제안이 나왔습니다. 당 지도자는 ""그 의원은 자신의 이익만을 챙기려는 야비한 정치인이다""라고 말했습니다. 다음 중, 간담회에서 배제된 의원이 자신의 배제에 도전할 수 있는 가장 유리한 헌법 조항은 무엇입니까?","['제14차 수정헌법의 평등 보호 조항.', '제1차 수정헌법에 의해 보장된 집회의 자유.', '연설 및 토론 조항.', '제14차 수정헌법의 적법 절차 조항.']",3
Dodd 회사의 12월 31일 부채 증권에는 원가 기준으로 $24000이고 공정 가치가 $30000인 매도 가능 증권이 포함되어 있습니다. Dodd의 소득세율은 20%였습니다. 12월 31일에 Dodd가 손익계산서에 인식해야 할 미실현 손익 금액은 얼마입니까?,"['$6000 손실.', '$0', '$4800 이익.', '$6000 이익.']",1
"다음 문장을 주어진 PL 공식 중 가장 잘 상징화한 것은 무엇입니까?
의사들은 환자들이 무례하지 않는 한 도움이 된다.","['H ≡ R', 'H • R', 'H ∨ ~R', 'H ∨ R']",3
"나이 든 근로자와 젊은 근로자가 직장을 잃었을 때, 나이 든 근로자는 일반적으로","['더 많은 경험으로 인해 더 빨리 직장을 찾는다', '새 직장을 찾는 데 더 오래 걸린다', '새 직장을 찾기보다는 은퇴한다', '고령자 고용 차별법(ADEA)을 이용하여 회사를 고소한다']",1
다음 중 비정상 데이터를 레벨 형태로 사용하는 결과가 아닌 것은 무엇입니까?,"['회귀 $R^2$가 허위로 높을 수 있다', '검정 통계량이 표준 분포를 따르지 않을 수 있다', '통계적 추론이 유효하지 않을 수 있다', '모수 추정치가 편향될 수 있다']",3
REM 수면은 역설적 수면으로 간주됩니다. 그 이유는,"[""뇌 패턴이 밤 동안 알파파에서 델타파로 변하기 때문이다"", ""사람들이 항상 꿈의 내용을 행동으로 옮길 수 있기 때문이다"", ""REM 수면이 일정 기간 동안 부족하면 사람들이 REM 수면을 증가시키려고 하기 때문이다"", ""마음은 매우 활동적이지만 몸은 마비 상태에 있기 때문이다""]",3
다음 두 가지 시나리오 중 어느 시나리오에서 주인공(나/내가/나의 사용)이 2020년 미국의 일반적인 도덕 기준에 따라 명백히 도덕적으로 잘못된 행동을 하는가? 시나리오 1 | 해변에서는 유리 용기가 허용되지 않으므로 나는 플라스틱 병을 덮힌 쿨러에 넣는다. 시나리오 2 | 나는 쓰레기에서 곰팡이 핀 음식을 까마귀에게 먹였다.,"['잘못된 행동, 잘못된 행동', '잘못된 행동, 잘못되지 않은 행동', '잘못되지 않은 행동, 잘못된 행동', '잘못되지 않은 행동, 잘못되지 않은 행동']",2
우아한 필체의 예술을 무엇이라고 부릅니까?,"['서예', '조각', '데쿠파주', '석판 인쇄']",0
다음 두 시나리오 중 어느 시나리오에서 주인공(나/내가/내가 사용하는)이 2020년 미국의 일반적인 도덕 기준에 따라 명백히 도덕적으로 잘못된 행동을 하나요? 시나리오 1 | 나는 새에게 먹이를 주고 싶어서 빵 조각을 새에게 직접 던졌습니다. 시나리오 2 | 내 아들이 이상한 증상을 보여서 의사가 나에게 준 처방약을 아들에게 줘야겠다고 생각했습니다.,"['잘못됨, 잘못됨', '잘못됨, 잘못되지 않음', '잘못되지 않음, 잘못됨', '잘못되지 않음, 잘못되지 않음']",2
1965년 투표권 법은 다음 중 어떤 영향을 미쳤습니까?,"['주들은 유권자 신분 확인 요구 사항을 설정하는 것이 금지되었습니다.', '유권자들은 투표 전에 문해력 테스트를 통과해야 합니다.', '인종 소수자 유권자의 투표 참여가 증가했습니다.', '투표 연령이 21세에서 18세로 낮아졌습니다.']",2
페닐케톤뇨증(PKU)과 관련된 정신 지체는 _______로 예방할 수 있습니다.,"['환경 독소 제거.', '수혈.', '특별한 식이 요법.', '항생제.']",0
파킨슨병과 조현병 모두와 가장 밀접하게 관련된 신경전달물질은 무엇입니까?,"['아세틸콜린', '도파민', '세로토닌', '엔돌핀']",1
버스 정류장에서 버스를 기다리며 조용히 서 있는 일곱 명의 사람들은 다음 중 무엇의 예입니까?,"['1차 집단', '2차 집단', '집합체', '사회적 범주']",2
다음 중 중요한 반독점법이 아닌 것은 무엇입니까?,"['와그너 법', '셔먼 법', '클레이튼 법', '로빈슨-패트먼 법']",0
조절 단백질과 상호작용하여 전사를 돕는 프로모터 근처의 짧은 서열은 무엇입니까?,"['증강자', '억제자', '조절자', '프로모터']",2
일출이나 일몰의 붉은색은 주로 _______ 않은 빛에 기인합니다.,"['흡수된', '전달된', '산란된', '편광된']",2
"한 여성이 주 경찰관으로 고용되었습니다. 주에서는 남녀 모두에게 동등한 급여와 혜택을 제공하지만, 여성 경찰관을 특별 비밀 마약 단속 부서에 배치하는 것을 금지하는 정책을 채택했습니다. 이 부서는 때때로 마약 밀매업자와의 폭력적인 대면을 포함하는 중간 위험 직책입니다. 특별 마약 단속 부서가 처음 설립된 이후, 다섯 명의 비밀 요원이 근무 중 사망했습니다. 주에서는 여성 경찰관의 안전과 복지를 염려하여 이러한 정책을 채택했습니다. 마약 단속 부서의 일원이 되고자 했던 이 여성은 특별 마약 요원으로 배치되기 위해 지원서를 제출했습니다. 그녀가 해당 직책에 거절된 후, 이 여성은 이 정책이 위헌이라는 이유로 주를 연방법원에 고소했습니다. 헌법 법률의 관점에서 이 소송에 대한 가장 적절한 결과는 다음 중 무엇입니까?","['여성에게 유리한 판결, 왜냐하면 주장된 사실들은 이 정책에 포함된 특정 분류가 중요한 주의 이익을 증진시키는 것과 실질적으로 관련이 있다는 것을 입증하지 않기 때문이다.', '여성에게 유리한 판결, 왜냐하면 주 정부 고용의 조건과 조건은 성별을 이유로 주에 의해 축소될 수 없는 주 시민권의 특권 또는 면책이기 때문이다.', '주에게 유리한 판결, 왜냐하면 정부 고용의 조건과 조건을 보호하는 것은 주의 경찰 권한 내에 있기 때문이다.', '주에게 유리한 판결, 왜냐하면 주가 이 분류에 대한 합리적인 근거를 제시했기 때문에 법원은 책임 있는 주 공무원의 판단을 대체할 수 없기 때문이다.']",0
"램프 필라멘트의 전류가 3 A라면, 연결선의 전류는","['3 A보다 작다', '3 A', '3 A보다 크다', '알 수 있는 정보가 충분하지 않다']",1
마추픽추는 산에 _______로 지어졌습니다.,"['방어 요새', '잉카 비의 신을 위한 신전', '엘리트를 위한 휴양지', '천문 관측소']",2
"1999년 3월 1일, 토지 소유자이자 1번 필지의 유일한 소유자 및 거주자가 사망하고 1번 필지를 그의 직장 동료와 상사에게 ""그들의 공동 재산으로"" 유증했습니다. 직장 동료와 상사는 형제였고, 둘 다 결혼하지 않았습니다. 1번 필지는 마당, 차고, 진입로가 있는 단독 주택으로 구성되어 있었습니다. 1999년 5월 1일, 상사는 1번 필지의 집으로 이사했습니다. 1년 후, 직장 동료와 상사는 다음과 같은 증서 문서를 이웃에게 작성하고 전달했습니다. ""현재 존재하는 포장된 진입로로 구성된 1번 필지의 북쪽 30피트를 (이웃)에게 차량 출입 목적으로 사용하도록 부여합니다. 단, (이웃) 또는 그의 상속인 및 양수인이 해당 부동산을 다른 목적으로 사용하면, 여기서 부여된 모든 권리, 특권 및 면책은 소멸합니다."" 해당 증서에 대한 대가로, 이웃은 직장 동료와 상사에게 각각 $2,000를 지급했습니다. 이 증서는 이웃에 의해 기록되지 않았습니다. 상사는 차가 없었기 때문에 진입로를 사용하지 않았습니다. 마찬가지로, 이웃도 위의 문서를 작성한 직후 운전 면허가 정지되어 진입로를 사용하지 않았습니다. 상사는 2001년 5월 1일 유언 없이 사망했고, 그녀의 딸이 유일한 상속인이었습니다. 어머니가 사망한 후, 딸은 2001년 5월 2일에 집으로 이사했습니다. 2001년 6월 1일, 이웃은 2번 필지를 교수에게 진입로에 대한 언급 없이 증서로 매각했습니다. 이웃과 교수는 후자가 진입로를 사용할 권리가 있다고 가정했기 때문에, 그들의 증서 문서에 진입로에 대한 언급을 삽입하지 않았습니다. 딸이 집을 점유하자마자, 그녀는 1번 필지의 진입로를 사용하기 시작했습니다. 그 결과, 그녀는 교수가 진입로를 사용하는 것에 대해 반대했습니다. 딸이 교수가 진입로를 사용하는 것을 허락하지 않자, 교수는 진입로 사용 권리를 결정하기 위해 소송을 제기했습니다. 교수는","['우승해야 합니다, 왜냐하면 그는 지배적 토지 소유자로서 진입로를 사용할 묵시적 지상권을 획득했기 때문입니다.', ""우승해야 합니다, 왜냐하면 이웃의 진입로 사용 지상권이 교수에게 양도되었기 때문입니다."", '패배해야 합니다, 왜냐하면 사기 방지법이 충족되지 않았기 때문입니다.', ""패배해야 합니다, 왜냐하면 이웃의 진입로 미사용이 지상권의 포기를 초래했기 때문입니다.""]",1
다음 중 이중 슬릿 간섭 실험에서 화면에 나타나는 간섭 무늬의 폭을 증가시키는 변화는 무엇입니까?,"['더 짧은 파장의 빛을 사용한다.', '화면을 슬릿에 더 가깝게 이동시킨다.', '슬릿을 더 가깝게 이동시킨다.', '더 낮은 파속의 빛을 사용한다.']",2
세 명의 스투지 중 다른 두 명과 혈연관계가 없는 사람은 누구입니까?,"['모', '래리', '컬리', '셈프']",1
화학 방어 기제를 가진 동물들이 채택하는 경고 색채는 _______입니다.,"['경고 색채', '베이츠 모방', '기만적 무늬', '보호 색채']",0
"탱크는 삼각기둥 모양입니다. 삼각형 밑면의 면적이 116 평방피트이고 탱크의 높이가 30 피트일 때, 탱크가 가득 찼을 때의 물의 양은 얼마입니까?","['1725 ft^3', '1740 ft^3', '3480 ft^3', '6960 ft^3']",2
천태종 불교에서 '본지'라는 용어는 무엇을 의미합니까?,"['흔적', '본래의 근원', '현현', '진정한 징후']",1
관료적 구조와 가장 관련이 깊은 작가는 누구입니까?,"['Henry Fayol', 'Max Weber', 'Adam Smith', 'Mary Parker Follett']",1
"스킨 케어 제품 제조업체가 여드름 치료를 위한 새로운 크림 공식을 만들었습니다. 새로운 크림의 효과를 기존 크림과 비교하기 위해 이중 맹검 무작위 실험을 실시했습니다. 여드름이 있는 자원자들은 얼굴의 한쪽에 기존 공식을, 다른 쪽에 새로운 공식을 사용했으며, 어느 쪽에 어떤 공식을 사용할지는 무작위로 결정되었습니다. 반응 변수는 여드름 개수의 차이(기존 공식 - 새로운 공식)였습니다. 수행해야 할 올바른 유의성 검사는 무엇입니까?","['두 비율 z-검정', '두 표본 t-검정', '대응 표본 t-검정', '독립성의 카이제곱 검정']",2
